Map name,Tier,Type,Stages/Cps,Bonuses
surf_unraveled,3,Staged-Linear,9,1
surf_vale,3,Staged,4,1
surf_vale2,3,Staged,5,1
surf_vegetables,3,Staged,10,1
surf_velocity,3,Staged,6,1
surf_voteforthisone,3,Staged,8,2
surf_wasteland,3,Staged,3,3
surf_wasteland2,3,Staged,3,5
surf_whoknows_ksf,3,Linear,5,1
surf_wicked,3,Staged,3,3
surf_wizard,3,Staged,5,3
surf_yellow,3,Linear,4,4
surf_zbig2,3,Staged,7,2
surf_zeitgeist,3,Staged,12,4
surf_zion,3,Staged,5,0
surf_zoomboys,3,Linear,5,2
surf_25_lighters,4,Linear,5,3
surf_4dimensional,4,Staged-Linear,3,1
surf_adrift_fix,4,Linear,5,1
surf_adventure_final,4,Linear,7,7
surf_airflow,4,Staged,6,1
surf_alend,4,Linear,4,0
surf_ambient_njv,4,Linear,5,0
surf_angst,4,Linear,5,3
surf_antimatter_v2,4,Staged,6,0
surf_anything,4,Staged,2,2
surf_apollonian,4,Staged,9,0
surf_artifex,4,Staged,4,1
surf_auroria2,4,Staged,7,1
surf_aux,4,Staged,2,2
surf_axil,4,Staged,3,2
surf_axiom,4,Linear,3,4
surf_banana_fix,4,Staged,4,3
surf_barbies_malibu_adventure,4,Staged,5,9
surf_beginner_hell,4,Staged,7,1
surf_beyer,4,Linear,7,1
surf_beyer2,4,Linear,7,5
surf_blackside,4,Staged,5,0
surf_blub,4,Staged,5,0
surf_bonk,4,Staged,5,2
surf_brodderlands,4,Staged,5,1
surf_calamity2,4,Staged,5,0
surf_calibration,4,Linear,7,1
surf_cannonball,4,Linear,5,2
surf_catalyst,4,Linear,5,0
surf_catalyst2,4,Linear,4,0
surf_cement,4,Staged,6,7
surf_chasm,4,Linear,5,4
surf_chateau_fix,4,Linear,4,3
surf_collaboration,4,Staged,8,0
surf_commune_too_beta5,4,Staged,7,2
surf_compulsive_njv_h,4,Staged,4,0
surf_concretejungle_fix,4,Staged,6,5
surf_consistenza_diversa,4,Staged,7,2
surf_constrictor_remix,4,Linear,4,1
surf_construction,4,Staged,3,1
surf_cordelia,4,Staged,3,0
surf_cozy,4,Staged,2,0
surf_curious,4,Linear,4,0
surf_cyanide,4,Linear,4,0
surf_delta,4,Staged,5,2
surf_desolate,4,Staged-Linear,4,3
surf_discovery,4,Staged,5,0
surf_divided_fix,4,Staged,5,0
surf_drifting,4,Staged-Linear,5,1
surf_dynamics_fixed,4,Linear,4,1
surf_efficacy,4,Linear,4,3
surf_ember2,4,Staged,6,2
surf_endeavour,4,Staged,3,2
surf_epithet,4,Linear,3,2
surf_eryr,4,Staged,4,3
surf_eternal_beta,4,Staged,2,0
surf_euphoria,4,Staged,2,0
surf_exclave_fix,4,Linear,4,0
surf_fabas,4,Staged,5,4
surf_facility,4,Linear,4,4
